,R-max,T-max,Optimized beta
Cerebellum-Cortex,0.42958669965021745,78.0,22.474747474747478
Thalamus-Proper,0.43792778769619883,78.0,22.474747474747478
Hippocampus,0.6192302164317027,38.0,1.2626262626262628
Amygdala,0.591786302572962,35.0,1.2626262626262628
VentralDC,0.44085975176147363,95.0,22.474747474747478
ctx-bankssts,0.6622364138840741,65.0,1.0101010101010102
ctx-caudalanteriorcingulate,0.44362575670026005,68.0,23.484848484848488
ctx-caudalmiddlefrontal,0.4224804916069082,78.0,22.474747474747478
ctx-cuneus,0.5415422034249111,38.0,2.272727272727273
ctx-entorhinal,0.6499873632694391,39.0,1.5151515151515151
ctx-fusiform,0.6729243477610533,40.0,0.7575757575757576
ctx-inferiorparietal,0.7573149744329725,66.0,0.25252525252525254
ctx-inferiortemporal,0.8185153623688074,42.0,0.5050505050505051
ctx-isthmuscingulate,0.528240683981888,68.0,1.2626262626262628
ctx-lateraloccipital,0.6298492894557413,39.0,2.0202020202020203
ctx-lateralorbitofrontal,0.4411441608553337,71.0,23.989898989898993
ctx-lingual,0.6122900225208978,39.0,2.272727272727273
ctx-medialorbitofrontal,0.41052120103294143,95.0,22.474747474747478
ctx-middletemporal,0.7355815674231903,58.0,0.5050505050505051
ctx-parahippocampal,0.642984548559633,39.0,1.7676767676767677
ctx-paracentral,0.3937932397674628,95.0,22.474747474747478
ctx-parsopercularis,0.4232107630552152,71.0,23.989898989898993
ctx-parsorbitalis,0.4746372474821679,68.0,23.484848484848488
ctx-parstriangularis,0.41990195144611886,71.0,23.989898989898993
ctx-pericalcarine,0.5608333652552142,38.0,2.272727272727273
ctx-postcentral,0.4158395657246804,93.0,17.171717171717173
ctx-posteriorcingulate,0.420956037792374,71.0,24.242424242424242
ctx-precentral,0.42675661241461244,71.0,23.989898989898993
ctx-precuneus,0.40703980752739033,95.0,22.474747474747478
ctx-rostralanteriorcingulate,0.41310117081960207,71.0,23.989898989898993
ctx-rostralmiddlefrontal,0.449117781012601,78.0,22.474747474747478
ctx-superiorfrontal,0.46922306794180735,68.0,23.484848484848488
ctx-superiorparietal,0.6476129871936604,68.0,0.7575757575757576
ctx-superiortemporal,0.6333385271199353,68.0,1.0101010101010102
ctx-supramarginal,0.5099472143306443,74.0,1.0101010101010102
ctx-frontalpole,0.4434619389107014,93.0,17.171717171717173
ctx-temporalpole,0.682384375250316,39.0,1.2626262626262628
ctx-transversetemporal,0.5783910331314243,70.0,1.2626262626262628
ctx-insula,0.5520556255699063,68.0,23.484848484848488
