,R-max,T-max,Optimized beta
Cerebellum-Cortex,0.3329276015884272,43.0,19.191919191919194
Thalamus-Proper,0.3668993708282093,41.0,25.0
Hippocampus,0.5803201693685626,38.0,3.0303030303030303
Amygdala,0.5552577322694866,36.0,7.828282828282829
VentralDC,0.3683831584340474,1.0,3.787878787878788
ctx-bankssts,0.5568498621847603,65.0,0.5050505050505051
ctx-caudalanteriorcingulate,0.1971671999703875,99.0,2.5252525252525255
ctx-caudalmiddlefrontal,0.23968498585757797,99.0,0.7575757575757576
ctx-cuneus,0.48175426952136746,69.0,1.0101010101010102
ctx-entorhinal,0.5778927324721804,37.0,5.303030303030304
ctx-fusiform,0.5643715208356027,43.0,0.5050505050505051
ctx-inferiorparietal,0.6931254084163458,66.0,0.25252525252525254
ctx-inferiortemporal,0.7097926343518133,60.0,0.25252525252525254
ctx-isthmuscingulate,0.3672356605087717,35.0,25.0
ctx-lateraloccipital,0.582092904526529,69.0,0.25252525252525254
ctx-lateralorbitofrontal,0.2543444642605624,92.0,25.0
ctx-lingual,0.482086902799075,68.0,0.7575757575757576
ctx-medialorbitofrontal,0.13618360218859227,99.0,6.565656565656566
ctx-middletemporal,0.7264675354207973,62.0,0.25252525252525254
ctx-parahippocampal,0.5824505795058118,38.0,4.040404040404041
ctx-paracentral,0.2257141102272656,99.0,1.5151515151515151
ctx-parsopercularis,0.26321263331438055,99.0,0.7575757575757576
ctx-parsorbitalis,0.2349332527723509,92.0,25.0
ctx-parstriangularis,0.24268081895419724,99.0,1.0101010101010102
ctx-pericalcarine,0.4909296492236012,68.0,1.0101010101010102
ctx-postcentral,0.2936544145255915,99.0,0.5050505050505051
ctx-posteriorcingulate,0.24248378928331565,99.0,2.0202020202020203
ctx-precentral,0.24461005849847184,99.0,0.7575757575757576
ctx-precuneus,0.3219737330931631,91.0,0.25252525252525254
ctx-rostralanteriorcingulate,0.15697533595842925,99.0,3.0303030303030303
ctx-rostralmiddlefrontal,0.20944978368510514,99.0,0.7575757575757576
ctx-superiorfrontal,0.18185397315837384,99.0,2.0202020202020203
ctx-superiorparietal,0.5389227141198221,69.0,0.25252525252525254
ctx-superiortemporal,0.34938104684657295,66.0,0.25252525252525254
ctx-supramarginal,0.4186630492430136,99.0,0.25252525252525254
ctx-frontalpole,0.1325344274948589,99.0,10.101010101010102
ctx-temporalpole,0.5763078859680951,36.0,4.7979797979797985
ctx-transversetemporal,0.27243907809275003,68.0,3.0303030303030303
ctx-insula,0.2814976327883684,99.0,0.7575757575757576
