,Unnamed: 0,R-max,T-max,Optimized beta
0,Cerebellum-Cortex,0.0,0.0,0.0
38,ctx-insula,0.422100989607077,73.0,25.0
22,ctx-parsorbitalis,0.4221009896071384,73.0,24.24242424242424
20,ctx-paracentral,0.4221009896071391,73.0,24.24242424242424
35,ctx-frontalpole,0.422100989607189,73.0,24.24242424242424
6,ctx-caudalanteriorcingulate,0.4221009896071927,73.0,24.24242424242424
15,ctx-lateralorbitofrontal,0.4221009896072277,73.0,24.24242424242424
26,ctx-posteriorcingulate,0.4221009896072519,73.0,24.24242424242424
1,Thalamus-Proper,0.4221009896074522,73.0,24.24242424242424
30,ctx-rostralmiddlefrontal,0.4221012504740746,73.0,6.313131313131313
31,ctx-superiorfrontal,0.422102829780244,73.0,5.555555555555556
23,ctx-parstriangularis,0.4221033907644972,73.0,5.303030303030304
29,ctx-rostralanteriorcingulate,0.4221051996730981,73.0,5.303030303030304
27,ctx-precentral,0.4221145655556282,73.0,4.545454545454546
7,ctx-caudalmiddlefrontal,0.4221161955126847,73.0,4.545454545454546
17,ctx-medialorbitofrontal,0.4221210185620593,73.0,4.797979797979799
25,ctx-postcentral,0.4221341034074837,73.0,3.787878787878788
21,ctx-parsopercularis,0.4221754079461354,73.0,4.040404040404041
28,ctx-precuneus,0.4785956681278944,70.0,0.7575757575757576
34,ctx-supramarginal,0.4834300009542002,88.0,0.5050505050505051
4,VentralDC,0.4945124233134507,1.0,13.383838383838384
13,ctx-isthmuscingulate,0.5202882297580403,69.0,0.7575757575757576
37,ctx-transversetemporal,0.538248681280783,68.0,0.7575757575757576
8,ctx-cuneus,0.5677065867857507,68.0,0.7575757575757576
32,ctx-superiorparietal,0.575963936118208,69.0,0.5050505050505051
33,ctx-superiortemporal,0.5866351247186845,67.0,0.7575757575757576
24,ctx-pericalcarine,0.5870056503165685,68.0,0.7575757575757576
5,ctx-bankssts,0.6083741090122305,67.0,0.5050505050505051
14,ctx-lateraloccipital,0.6130801813339058,68.0,0.7575757575757576
16,ctx-lingual,0.6174076834526702,40.0,1.2626262626262628
3,Amygdala,0.6587700435109978,37.0,1.5151515151515151
19,ctx-parahippocampal,0.6680136250971254,38.0,1.2626262626262628
10,ctx-fusiform,0.6711151140209494,40.0,1.0101010101010102
2,Hippocampus,0.6754877462552338,38.0,1.2626262626262628
9,ctx-entorhinal,0.6762928345832712,38.0,1.5151515151515151
36,ctx-temporalpole,0.6921475015964931,38.0,1.2626262626262628
18,ctx-middletemporal,0.7180775510075399,64.0,0.5050505050505051
11,ctx-inferiorparietal,0.7226986419842535,67.0,0.2525252525252525
12,ctx-inferiortemporal,0.7771263590182342,44.0,0.5050505050505051
